Agency,Description,Uploaded On,Link,Saved
Bureau of Land Management,EEO DEIA SUPPORT,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9300&PIID=93310023P0021&modNumber=A00003&idvAgencyID=&idvPIID=&contractType=AWARD,145000.0
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,CHANGE MANAGEMENT AND BUSINESS PROCESS REENGINEERING PROFESSIONAL SERVICES.,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9577&PIID=95332A22F00023&modNumber=P00007&idvAgencyID=&idvPIID=GS00F170CA&contractType=AWARD,0.0
Committee for Purchase From People Who Are Blind or Severely Disabled,Legal Database that allows lawyers to conduct research and prepare for litigation,2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9518&PIID=95044124P0006&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,21341.0
Commodity Futures Trading Commission,Annual subscription to Politico Pro,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY21P0041&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,60373.0
Commodity Futures Trading Commission,FT.COM SUBSCRIPTION,2/25/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24P0043&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,129286.0
Commodity Futures Trading Commission,RENEW ONLINE SUBSCRIPTION TO THE WALL STREET JOURNAL.,2/25/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY22P0064&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,79998.0
Commodity Futures Trading Commission,ONLINE SUBSCRIPTION TO THE NEW YORK TIMES.,2/25/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY22P0041&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Commodity Futures Trading Commission,DEIA INCLUSIVE LEADERSHIP TRAINING FOR SUPERVISORS,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY23C0032&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Commodity Futures Trading Commission,BLOOMBERG LAW SUBSCRIPTION RENEWAL,2/27/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24F0008&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0068&contractType=AWARD,0.0
Commodity Futures Trading Commission,INTEGRATED MARKETING SUPPORT FOR THE OFFICE OF CUSTOMER EDUCATION AND OUTREACH,2/28/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY25F0002&modNumber=P00002&idvAgencyID=&idvPIID=9523ZY24A0004&contractType=AWARD,1410519.0
Commodity Futures Trading Commission,Travel Support Services,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24C0010&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,2413600.0
Commodity Futures Trading Commission,Expert witness support services,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY23C0016&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,361977.0
Commodity Futures Trading Commission,Training Support Services,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY21C0029&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,238198.0
Commodity Futures Trading Commission,Executive Coaching Services,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY20C0021&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,1929796.0
Commodity Futures Trading Commission,Policy Program Support Services,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24F0060&modNumber=P00002&idvAgencyID=&idvPIID=9523ZY24A0002&contractType=AWARD,0.0
