Agency,Uploaded On,Description,Saved
Department Of Education,2/7/2025,RTR TEACHER AND SCHOOL LEADER RESIDENCY (RTR-TR-SLR),8463038.0
Department Of Education,2/7/2025,"LEARN, WORK, AND EARN: “GROW YOUR OWN” PRACTICE-BASED RESIDENCY PATHWAYS TO PREPARE EFFECTIVE EDUCATORS",4839262.0
Department Of Education,2/7/2025,LOS ANGELES URBAN TEACHER RESIDENCY - THE UNDERGRADUATE COMMUNITY TEACHER COLLABORATIVE (LAUTR-UCTC),6682514.0
Department Of Education,2/10/2025,COMMUNITY PARTNERSHIPS FOR TEACHER PIPELINE,3195922.0
Department Of Education,2/10/2025,"TNTP’S FELLOWSPLUS: PATHWAYS TO EXPAND ACCESS AND ECONOMIC MOBILITY FOR TEACHER CANDIDATES IN AUSTIN, TEXAS, CLARK COUNTY, NEVADA, AND BALTIMORE CITY, MARYLAND",7563690.0
Department Of Education,2/10/2025,CENTERING EQUITY: BUILDING & SCALING TEACHER RESIDENCIES,1484643.0
Department Of Education,2/10/2025,ASCEND: AMALGAMATING SCHOOL LEADERSHIP CERTIFICATES AND EXECUTIVE COACHING FOR NEW LEADER DEVELOPMENT,2819686.0
Department Of Education,2/10/2025,EQUITY LEADER ACCELERATOR PROJECT (ELAP),2953043.0
Department Of Education,2/10/2025,RETAINING AND INSPIRING STEM EDUCATORS (RAISE): OKLAHOMA,1250392.0
Department Of Education,2/10/2025,"FROM THE MARGINS TO THE CENTER: SUPPORTING TEACHER DIVERSITY, QUALITY, AND RETENTION (M2C)",6380216.0
Department Of Education,2/10/2025,NATIONAL ASPIRING PRINCIPALS FELLOWSHIP,3028529.0
Department Of Education,2/10/2025,NOLA SEED: A PROJECT TO IMPROVE & EXPAND NONTRADITIONAL EDUCATOR PATHWAYS,4245679.0
Department Of Education,2/10/2025,,4814408.0
Department Of Education,2/10/2025,SUPPORTING EFFECTIVE SCHOOL LEADERS THROUGH PROFESSIONAL LEARNING AND RESOURCES FOR EQUITY LEADERSHIP & EDUCATOR WELL-BEING,3009928.0
Department Of Education,2/10/2025,GEORGIA EDUCATORS NETWORKING TO REVOLUTIONIZE AND TRANSFORM EDUCATION:GENERATE,2411784.0
Department Of Education,2/10/2025,THE BRIDGE PROJECT: STATEWIDE SUPPORTS FOR FUTURE ILLINOIS PRINCIPALS OF COLOR,2140529.0
Department Of Education,2/10/2025,"STEM, LITERACY AND COMPUTATION IN EDUCATION FOR SCHOOL LEADERS (SLICE-SL)",2077527.0
Department Of Education,2/10/2025,"CROSS-INSTITUTIONAL COLLABORATION AND REIMAGINING TOWARD EQUITY, ACCESS, AND TEACHER EFFECTIVENESS: EXPANDING AND SUSTAINING PROJECT CREATE",6374392.0
Department Of Education,2/10/2025,UBTR SEED: TIERED PROFESSIONAL LEARNING FOR INCLUSIVE & EQUITABLE EDUCATOR PRACTICE,819016.0
Department Of Education,2/10/2025,PROJECT EXPANDED IMPACT (IMPACT),3392625.0
Department Of Education,2/10/2025,UMD SCHOOL IMPROVEMENT LEADERSHIP ACADEMY,1634442.0
Department Of Education,2/10/2025,WE THE PEOPLE: CIVICS THAT EMPOWERS ALL STUDENTS,6440114.0
Department Of Education,2/10/2025,NORCAL GREAT TEACHER PIPELINE,4743656.0
Department Of Education,2/10/2025,"INCREASING TEACHERS’ CAPACITY FOR INTEGRATING MATHEMATICS, SOCIAL-EMOTIONAL LEARNING, AND EQUITY (MATH + SEL +E)",2664277.0
Department Of Education,2/10/2025,REACH TO TEACH!,1979270.0
Department Of Education,2/10/2025,,715194.0
Department Of Education,2/10/2025,GROW YOUR OWN PROGRAMS: NON-TRADITIONAL PATHWAYS AND INDUCTION-LEVEL SUPPORT STRUCTURES FOR DIVERSIFYING EDUCATOR PREPARATION,507082.0
Department Of Education,2/10/2025,HIGH IMPACT LEADERSHIP (HIL2.0) FOR SCHOOL RENEWAL,11817197.0
Department Of Education,2/10/2025,"P2B WILL DESIGN AND IMPLEMENT CLASSROOM-BASED, RESIDENCY-LIKE DEGREE PROGRAM THAT WILL EMPOWER INSTRUCTIONAL PARAPROFESSIONALS FROM TRADITIONALLY UNDERSERVED LEAS TO EARN A ST. LOUIS UNIVERSITY DEGREE",4849832.0
Department Of Education,2/10/2025,PROJECT RAICES (RE-ENVISIONING ACTION AND INNOVATION THROUGH COMMUNITY COLLABORATIONS FOR EQUITY ACROSS SYSTEMS),3034825.0
Department Of Education,2/10/2025,STEPPING UP STEM AT WCU,1378659.0
Department Of Education,2/10/2025,CLEVELAND STATE UNIVERSITY’S URBAN NETWORK TO INCREASE TEACHING EXCELLENCE (UNITE),3070266.0
USAID,1/24/2025,"USAID/BANGLADESH PLANS TO SUPPORT GENDER DIVERSE PEOPLE (GDP) THROUGH THE NEW SHOMOTA (A BANGLA WORD MEANING “EQUALITY” IN ENGLISH) ACTIVITY BY BUILDING THE CAPACITY OF CIVIL SOCIETY ORGANIZATIONS (CSO) WORKING WITH GDP TO IMPROVE THEIR SERVICE DELIVERY AND ADVOCACY EFFORTS. THE ACTIVITY WILL ALSO WORK TO IMPROVE PUBLIC AWARENESS AND UNDERSTANDING, STRATEGIC ADVOCACY, AND POLICIES FOR GDPS BY WORKING WITH CSOS ASSISTING GDP, GOVERNMENT, OTHER KEY STAKEHOLDERS, WHILE ALSO IMPROVING OPPORTUNITIES FOR GDP TO INTEGRATE INTO MAINSTREAM SOCIETY. FINALLY, THE ACTIVITY WILL ALSO WORK TO IMPROVE NETWORKING AND STRENGTHEN THE CAPACITY OF CSOS ASSISTING GDP, INCLUDING REGISTERED AND UNREGISTERED COMMUNITY-BASED ORGANIZATIONS (CBOS).",1300000.0
USAID,1/30/2025,"THE GOAL OF THE ACTIVITY IS TO IMPROVE THE SAFETY, AGENCY, WELL-BEING AND LIVELIHOODS OF LGBTQI+ IN UGANDA. THE ACTIVITY OBJECTIVES ARE;1. IMPROVE PROMPT DOCUMENTATION OF AND COMPREHENSIVE RESPONSE TO HUMAN RIGHTS VIOLATIONS. 2. INCREASE THE POSITIVE SHIFT IN PUBLIC PERCEPTIONS AND ATTITUDES TOWARDS THE HUMAN RIGHTS OF LGBTQI+ PERSONS. 3. EXPAND THE SKILLS, OPPORTUNITIES, AND SUPPORT FOR LGBTQI+ TO MEANINGFULLY ENGAGE IN THE ECONOMY.",2500381.0
USAID,2/6/2025,EXPANDING INCLUSIVE AND SUSTAINABLE INTERNET ACCESS IN UNDERSERVED COMMUNITIES ACROSS UGANDA,0.0
USAID,2/10/2025,STRENGTHENING THE INSTITUTIONAL COMMUNICATIONS CAPACITY AND SYSTEMS BUILDING OF THE NATIONAL COMMUNICATIONS AND INFORMATION DIRECTORATE (NCID),0.0
USAID,2/10/2025,"THIS DEMOCRATIC ELECTIONS AND POLITICAL PROCESSES (DEPP) LWA WILL PRIMARILY SUPPORT USAID’S GOALS AND OBJECTIVES UNDER THE “GOVERNING JUSTLY AND DEMOCRATICALLY” AREA OF THE FOREIGN ASSISTANCE FRAMEWORK, AND, MORE SPECIFICALLY, THE “POLITICAL COMPETITION AND CONSENSUS BUILDING” PROGRAM ELEMENT IN THE FRAMEWORK",5479572.0
USAID,2/10/2025,"THE ACTIVITY WILL SUPPORT THE RECIPIENT’S/RECIPIENTS’ ABILITY TO RESPOND TO URGENT, UNFORESEEN NEEDS OR OPPORTUNITIES. THE SPECIFIC WORK BY A RECIPIENT/RECIPIENTS THAT USAID IS LOOKING TO SUPPORT INCLUDES BUT IS NOT LIMITED TO: STRENGTHENING AND SUPPLEMENTING LOCALLY-LED EFFORTS TO RESPOND TO EMERGING THREATS AND OPPORTUNITIES, INCLUDING THROUGH SUPPORT TO JRS DEFENDERS, ADVOCACY EFFORTS, ANALYSIS, LEGAL ACTION, AWARENESS RAISING, OVERSIGHT OVER PROCESSES OR INSTITUTIONS, AND PROTECTION EFFORTS. THE ACTIVITY’S THREE PRIMARY OBJECTIVES (AS ELABORATED BELOW) ARE SUPPORTING: 1) RAPID RESPOND TO URGENT, UNMET NEEDS TO PROTECT RULE OF LAW AND JUSTICE, HUMAN RIGHTS, AND SECURITY SECTOR REFORM; 2) RAPID RESPONSE TO TIME-BOUND WINDOWS OF OPPORTUNITY TO ADVANCE RULE OF LAW AND JUSTICE, HUMAN RIGHTS, AND SECURITY SECTOR REFORM; AND 3) NEW AND INNOVATIVE APPROACHES TO RULE OF LAW AND JUSTICE, HUMAN RIGHTS, AND SECURITY SECTOR REFORM.",0.0
USAID,2/10/2025,ADVANCING DEMOCRACY,7050000.0
USAID,2/10/2025,THE PURPOSE OF THIS ACTIVITY IS TO SUPPORT THE EXPANSION OF MIDDLE MILE DIGITAL INFRASTRUCTURE IN MALAWI AND REDUCE THE COST OF LANDED BACKHAUL AND INTERNET TRANSIT FOR INTERNET SERVICE PROVIDERS (ISPS) WITHIN THE COUNTRY.,0.0
USAID,2/10/2025,USAID/ALGERIA PILOT PROGRAM – GENDER-BASED VIOLENCE PREVENTION AND RESPONSE.,370000.0
USAID,2/10/2025,THE PURPOSE OF DAVID E PRICE LEGISLATIVE STRENGTHENING IS TO GIVE BUREAU AND MISSIONS A BETTER UNDERSTANDING OF THE IMPACT OF LEGISLATIVE STRENGTHENING PROGRAMMING AND THE EMERGING APPROACHES TO A SUB-SECTOR WHERE LEARNING HAS NOT BEEN AS RIGOROUSLY APPLIED.,4500000.0
USAID,2/10/2025,USAID/WEST BANK AND GAZA - DEMOCRATIC LEADERSHIP ACTIVITY (DLA),9800000.0
USAID,2/10/2025,"IDPG WILL CONTRIBUTE TO THE USAID PAKISTAN COUNTRY DEVELOPMENT STRATEGY BY STRENGTHENING LOCALLY-LED INTERVENTIONS THAT PROMOTE MORE PEACEFUL COMMUNITIES (USAID DEVELOPMENT OBJECTIVE 2). IT ALSO ALIGNS WITH USAID’S “POLICY FOR COUNTERING VIOLENT EXTREMISM THROUGH DEVELOPMENT ASSISTANCE” BY ORIENTING ACTIVITIES AROUND ADDRESSING POLITICAL MARGINALIZATION, WEAK GOVERNANCE, AND FRAGILE SOCIAL COHESION AS CORE FACTORS AFFECTING VIOLENT EXTREMISM.",5826469.0
USAID,2/10/2025,ELECTIONS FOR CITIZEN CONFIDENCE & TRUST (ELECCT) ACTIVITY,0.0
USAID,2/10/2025,"DRG NEW AWARD: ELECTIONS AND DEMOCRACY , DRG COOPERATIVE AGREEMENT ON ELECTIONS AND CIVIC EDUCATION",2192492.0
USAID,2/10/2025,"THE LIBERIA DOMESTIC ELECTION OBSERVATION (LIDEO) ACTIVITY ENHANCE VOTER CONFIDENCE IN ELECTORAL PROCESSES AND RESULTS TO THE EXTENT WARRANTED, AND TO MITIGATE ELECTORAL VIOLENCE AND TENSION, THROUGH EVIDENCE-BASED, RESPONSIVE ELECTION OBSERVATION REPORTING TO THE PUBLIC",0.0
USAID,2/10/2025,THE GOAL OF THIS ACTIVITY IS TO SUPPORT A LOCAL CIVIL SOCIETY ORGANIZATION (CSO) TO CLOSELY MONITOR THE QUALITY OF HIV SERVICES SUPPORTED BY PEPFAR IN LIBERIA,0.0
