Main Agency,Location,Sq_Ft,Saved
DEPARTMENT OF STATE,"MIAMI, FL",3076,7383.0
BUREAU OF PRISONS,"CINCINNATI, OH",3068,30295.0
BUREAU OF PRISONS,"KANSAS CITY, BUREAU OF PRISONS",51138,1275000.0
FAS- OFFICE SPAC,"O’FALLON, IL, FAS SERVICE CENTER",4599,239250.0
FAS- OFFICE SPAC,"FAIRBORN, OH, FAS",2983,80292.0
CENTER FOR DISEASE CONTROL,"ATLANTA, GA, CDC",119812,2060883.0
General Services Administration,"CHARLOTTESVILLE, VA",3719,0.0
SOCIAL SECURITY ADMINISTRATION,"WHITE PLAINS, NY",16632,162689.0
General Services Administration,"ARLINGTON, VA",55043,0.0
DHS OFFICE OF THE UNDERSECRETARY FOR MANAGEMENT,"ARLINGTON, VA",49662,0.0
PBS,"MIDDLEBURG HEIGHTS, OH",5421,193136.0
BUREAU OF LABOR STATISTICS,"WASHINGTON, DC",845389,7148974.0
General Services Administration,"WASHINGTON, DC",46821,1898397.0
PUBLIC BUILDINGS SERVICE-FIELD OFFICE,"SPRINGFIELD, IL",3860,164698.0
DHS UNITED STATES SECRET SERVICE,"NEW YORK, NY",250,4142.0
General Services Administration,"RIVERDALE PARK, MD",5598,32559.0
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"NEW YORK, NY",0,1316480.0
FIELD OFFICES,"WASHINGTON, DC",22195,1150282.0
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"NEW YORK, NY",0,2261182.0
SOCIAL SECURITY ADMINISTRATION,"LOGAN, WV",7852,45650.0
DEPARTMENT OF EDUCATION,"WASHINGTON, DC",5255,196366.0
DOD -WHS,"LOS ANGELES, CA",6610,0.0
General Services Administration,"REHOBOTH BEACH, DE",1300,0.0
DHS UNITED STATES SECRET SERVICE,"REHOBOTH BEACH, DE",2400,0.0
DEFENSE INFORMATION SYSTEMS AGENCY,"REHOBOTH BEACH, DE",2740,0.0
DOD -WHS,"WILMINGTON, DE",2350,0.0
OFFICE OF THE COMPTROLLER OF THE CURRENCY,"CHAMPAIGN, IL",2958,0.0
DHS UNITED STATES SECRET SERVICE,"WILMINGTON, DE",13441,0.0
DHS UNITED STATES SECRET SERVICE,"PHILADELPHIA, PA",1000,0.0
