Agency,Recipient,Description,Date,SAVED
USAID,GAVI FOUNDATION,"THE 2021-2025 STRATEGY (GAVI 5.0), WHICH WAS APPROVED BY THE GAVI BOAR...",3/1/2025,1750000000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TX DEPT OF STATE HEALTH SERVICES,No description available,3/23/2025,877628206.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",No description available,3/23/2025,482383724.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, FLORIDA DEPARTMENT OF",No description available,3/23/2025,482136996.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,RESEARCH TRIANGLE INSTITUTE,No description available,3/23/2025,428698791.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,No description available,3/1/2025,372500000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,IL ST DEPT OF PUBLIC HEALTH,No description available,3/23/2025,325259941.0
USAID,FAMILY HEALTH INTERNATIONAL,"IHSS AIMS TO ACHIEVE SUSTAINABLE, EQUITABLE, AND RESILIENT HEALTH SYST...",3/1/2025,321352400.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, PENNSYLVANIA DEPARTMENT OF",No description available,3/23/2025,310552184.0
USAID,FAMILY HEALTH INTERNATIONAL,THE OBJECTIVE OF THE COOPERATIVE AGREEMENT IS INCREASE THE ADOPTION AN...,3/1/2025,305787873.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,290592575.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,No description available,3/23/2025,285723761.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,INDIANA STATE DEPARTMENT OF HEALTH,No description available,3/23/2025,262367100.0
USAID,JSI RESEARCH & TRAINING INSTITUTE INC,TUBERCULOSIS IMPLEMENTATION FRAMEWORK AGREEMENT (TIFA),3/10/2025,239608840.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,238284133.0
USAID,JOINT UNITED NATIONS PROGRAMME ON HIV/AIDS UNAIDS,UNAIDS IV,3/1/2025,237544511.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF OHIO - DEPARTMENT OF HEALTH,No description available,3/23/2025,220743894.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,No description available,3/23/2025,212550685.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MN ST DEPARTMENT OF HEALTH,No description available,3/23/2025,181926676.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OK ST DEPARTMENT OF HEALTH,No description available,3/23/2025,180896063.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH RESEARCH, INC.",No description available,3/23/2025,179233991.0
