Agency,Recipient,Description,Date,SAVED
USAID,GAVI FOUNDATION,"THE 2021-2025 STRATEGY (GAVI 5.0), WHICH WAS APPROVED BY THE GAVI BOARD IN JUNE 2019, BUILDS ON THE ALLIANCE’S YEARS OF DEMONSTRATED SUCCESS AND STRIVES TOWARD ITS VISION TO “LEAVE NO ONE BEHIND WITH IMMUNIZATION.” TO INCREASE COVERAGE AND EQUITY, GAVI 5.0 PRIORITIZES “ZERO-DOSE” CHILDREN WHO HAVE NOT RECEIVED A SINGLE VACCINE SHOT AS WELL AS MISSED COMMUNITIES. THE ZERO-DOSE AGENDA IS ALSO A KEY PRIORITY FOR THE GLOBAL COMMUNITY’S IMMUNIZATION AGENDA 2030, WHICH WAS ENDORSED BY THE WORLD HEALTH ASSEMBLY IN MAY 2020.",3/1/2025,1750000000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TX DEPT OF STATE HEALTH SERVICES,No description available,3/23/2025,877628206.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",No description available,3/23/2025,482383724.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, FLORIDA DEPARTMENT OF",No description available,3/23/2025,482136996.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,RESEARCH TRIANGLE INSTITUTE,No description available,3/23/2025,428698791.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,No description available,3/1/2025,372500000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,IL ST DEPT OF PUBLIC HEALTH,No description available,3/23/2025,325259941.0
USAID,FAMILY HEALTH INTERNATIONAL,"IHSS AIMS TO ACHIEVE SUSTAINABLE, EQUITABLE, AND RESILIENT HEALTH SYSTEMS THROUGH LOCALLY LED, EVIDENCE- DRIVEN, AND CONTEXT-SPECIFIC APPROACHES TO HEALTH SYSTEM STRENGTHENING (HSS), WITH THE GOAL OF ADVANCING PRIMARY HEALTH CARE (PHC), ACCELERATING PROGRESS TOWARD UNIVERSAL HEALTH COVERAGE (UHC), AND IMPROVING HEALTH OUTCOMES",3/1/2025,321352400.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, PENNSYLVANIA DEPARTMENT OF",No description available,3/23/2025,310552184.0
USAID,FAMILY HEALTH INTERNATIONAL,"THE OBJECTIVE OF THE COOPERATIVE AGREEMENT IS INCREASE THE ADOPTION AND SUSTAINED PRACTICE OF PRIORITY BEHAVIORS AND THE DEVELOPMENT AND MAINTENANCE OF ENABLING SOCIAL NORMS, INCLUDING GENDER NORMS, FOR IMPROVED HEALTH AND DEVELOPMENT OUTCOMES. THIS PURPOSE WILL BE ACHIEVED THROUGH THE INCREASED IMPLEMENTATION OF THEORY-INFORMED, EVIDENCE-BASED, LOCALLY-LED SBC PROGRAMMING.",3/1/2025,305787873.0
