AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT
DEPARTMENT OF STATE,AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION,PROVIDE SCHOLARSHIPS TO LEADERS FROM TIMOR-LESTE FOR ACADEMIC STUDY AT U.S. UNIVERSITIES.,3/7/2025,17900.0
DEPARTMENT OF STATE,AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION,THE U.S. TIMOR-LESTE SCHOLARSHIP PROGRAM WILL SELECT UP TO THREE STUDENTS FROM TIMOR-LESTE FOR FULLTIME ENROLLMENT IN DEGREE PROGRAMS BASED ON A MERIT-BASED COMPETITION.,3/7/2025,9700.0
DEPARTMENT OF STATE,AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION,THE OBJECTIVE OF THE PROGRAM IS TO PROVIDE THREE SCHOLARSHIPS TO POTENTIAL LEADERS FROM TIMOR-LESTE FOR ACADEMIC STUDY IN SELECTED FIELDS AT U.S. UNIVERSITIES.,3/7/2025,15600.0
DEPARTMENT OF STATE,AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION,FY-2024 - INTERNATIONAL VISITOR LEADERSHIP PROGRAM (IVLP): SUPPORT TO NATIONAL PROGRAMMING AGENCIES (NPAS),3/7/2025,116700.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION,"IIE IS HEREBY AWARDED $$6,262,131 IN CR1 TO SUPPORT THE FULBRIGHT STUDENT PROGRAM THROUGH DECEMBER 11, 2020 PENDING AVAILABILITY OF FY 2021 FUNDS.",3/7/2025,17922.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION,"IIE IS HEREBY AWARDED $2,581,530 IN CR1 TO SUPPORT THE FULBRIGHT SCHOLAR PROGRAM THROUGH DECEMBER 11, 2020.ADMIN FUNDING",3/7/2025,11500.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION,THE BENJAMIN A. GILMAN INTERNATIONAL SCHOLARSHIP PROGRAM PROVIDES ECONOMICALLY DISADVANTAGED AMERICAN UNDERGRADUATE STUDENTS THE ABILITY TO GAIN CAREER-ENHANCING SKILLS THROUGH STUDY ABROAD.,3/7/2025,18500.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION,"IIE IS AWARDED A FEDERAL AWARD IN CR 1 TO PROVIDE ADMINISTRATIVE SUPPORT FOR THE FULBRIGHT U.S. AND FOREIGN STUDENT PROGRAMS, PENDING AVAILABILITY OF FY 2022 FUNDS.",3/7/2025,10310.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION,"IIE IS AWARDED $2,814,600 TO SUPPORT THE FY 2023 FULBRIGHT SCHOLAR PROGRAM PENDING THE AVAILABILITY OF FY23 FUNDS. THE CURRENT CR1 EXPIRES ON 12/16/22.",3/7/2025,6337.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION,"IIE IS AWARDED $6,823,564 TO SUPPORT THE FY 2023 FULBRIGHT U.S. AND FOREIGN STUDENT PROGRAMS PENDING THE AVAILABILITY OF FY 2023 FUNDS. THE CURRENT CR EXPIRES ON 12/16/2022.",3/7/2025,267820.0
